fid,x,y,xa,ya
27,-247.5,247.2,-242.0285481635905,245.73360974507318
28,-227.5,147.2,-221.5994774867304,153.315540350783
28,-227.5,247.2,-223.4323249223057,245.22706394907846
29,-207.5,147.2,-203.06053660455368,152.75689333427525
29,-207.5,247.2,-204.8380789387841,244.80709332316525
30,-387.5,267.2,-353.9672165934963,266.08573191037135
31,-367.5,167.2,-331.4995502845299,173.04712573393658
31,-367.5,267.2,-335.1004231768699,265.62856029065
32,-347.5,167.2,-313.08001079001406,172.48929509091994
32,-347.5,267.2,-316.28246892703714,265.34149546915654
33,-327.5,167.2,-295.09197313077914,172.67478770154116
33,-327.5,267.2,-297.79660565338816,264.8812214520155
34,-307.5,167.2,-276.9572118252967,172.5623649114337
34,-307.5,267.2,-279.3199421998363,264.8386972108597
35,-287.5,167.2,-258.4450679414868,172.01785938411737
35,-287.5,267.2,-260.6741143322001,264.4263318726062
36,-267.5,167.2,-240.268494908802,171.86551039519222
36,-267.5,267.2,-242.36721411034398,264.57069746867455
37,-247.5,167.2,-221.89700336231903,171.54171607957042
37,-247.5,267.2,-223.67923750785047,264.2104534929902
38,-227.5,167.2,-203.4707896601772,171.08820718852624
38,-227.5,267.2,-205.03924558096037,263.6587932956843
41,-367.5,187.2,-350.95525632945674,191.4479249944925
41,-367.5,287.2,-354.4907102470321,284.42610537881103
42,-347.5,187.2,-332.1730183367398,191.2481785825262
42,-347.5,287.2,-335.77537694975473,284.5214711745167
43,-327.5,187.2,-313.9480015778836,191.19754788681058
43,-327.5,287.2,-317.04043171346365,284.49477794551
44,-307.5,187.2,-295.5549827851129,191.05282721709935
44,-307.5,287.2,-298.10893824655597,283.92259592086526
45,-287.5,187.2,-277.2526176955709,190.79814148751268
45,-287.5,287.2,-279.55753551306725,283.97752188976045
46,-267.5,187.2,-258.94696798408796,190.6204148813515
46,-267.5,287.2,-260.6970927308703,283.07445786852384
47,-247.5,187.2,-240.6352841163323,190.27630476502702
47,-247.5,287.2,-242.20876364809334,282.9806115966472
48,-227.5,187.2,-222.12860442123576,189.58156301462486
48,-227.5,287.2,-223.93056875442272,282.9662427436678
49,-207.5,187.2,-203.81177826249316,189.29735166047277
49,-207.5,287.2,-205.4513470233165,282.79138882706707
0,-202.5,107.2,-198.2684484182668,116.79977150895384
0,-202.5,207.2,-199.65522561247312,207.8939643050886
1,-182.5,107.2,-180.20522054811886,116.45781002289274
1,-182.5,207.2,-181.23147789768842,207.81661479954292
2,-162.5,107.2,-161.81372889073378,116.24835832286185
2,-162.5,207.2,-162.49708895393505,207.20544475743736
3,-142.5,207.2,-143.76586374815815,206.87414371652451
4,-122.5,207.2,-125.34241921577302,206.90400427246422
5,-102.5,207.2,-106.86034153648009,206.69779793345003
6,-82.5,207.2,-88.09608239724002,206.06179497205804
7,-62.5,207.2,-69.61592189438868,206.05064024693897
8,-42.5,207.2,-51.00093279937553,205.7841743006007
9,-22.5,207.2,-32.08076333416164,205.10276274611564
10,-202.5,127.2,-198.54837491792412,135.10998728219212
10,-202.5,227.2,-199.82412231890964,226.50664099520927
11,-182.5,127.2,-180.2312494798215,134.56220241243378
11,-182.5,227.2,-181.27665041838,226.44360724506066
12,-162.5,127.2,-161.8877274612748,134.32044599090673
12,-162.5,227.2,-162.70602836936993,226.00342765431486
13,-142.5,127.2,-143.61333946800178,134.2314645370671
13,-142.5,227.2,-144.02554559665595,225.60254553828167
14,-122.5,127.2,-125.31835828766523,133.94418350576916
14,-122.5,227.2,-125.39158171533852,225.43775619037385
15,-102.5,127.2,-106.81483285814613,133.3966049350175
15,-102.5,227.2,-106.71062205835504,225.22257859036836
16,-82.5,127.2,-88.51342798628048,133.27418793269217
16,-82.5,227.2,-88.18751243242365,225.02060009498814
17,-62.5,227.2,-69.5541671060608,224.8630130966612
18,-42.5,227.2,-50.658155401661865,224.34793291673867
19,-22.5,227.2,-32.012192914534275,224.14816427121744
20,-202.5,147.2,-198.70536920670702,152.86816357055127
20,-202.5,247.2,-200.1037647777535,245.26512165963084
21,-182.5,147.2,-180.33758448540235,152.6063026809642
21,-182.5,247.2,-181.41307024618962,245.0196732837268
22,-162.5,147.2,-161.95121060166093,152.48985646791618
22,-162.5,247.2,-162.56801072825198,244.40734488574054
23,-142.5,147.2,-143.64378897065504,152.27812356930787
23,-142.5,247.2,-144.19056699737996,244.54931615887597
24,-122.5,147.2,-125.1274189671541,151.7125642984406
24,-122.5,247.2,-125.51408283741361,244.1643045889831
25,-102.5,147.2,-106.8825861582133,151.6313582842861
25,-102.5,247.2,-106.68633596836729,243.86155662113555
26,-82.5,147.2,-88.37033848079443,151.08779223280635
26,-82.5,247.2,-88.04619039111971,243.56696394981694
27,-62.5,147.2,-70.06995032418833,151.11349133130247
27,-62.5,247.2,-69.3180721849204,243.2871175058717
28,-42.5,147.2,-51.41715887950466,150.42224654194717
28,-42.5,247.2,-50.52792076365558,243.18340222767605
29,-22.5,147.2,-32.85129801974867,149.9910999749123
29,-22.5,247.2,-31.516521159211745,242.56471310350543
30,-202.5,167.2,-180.49944947463007,170.874267741228
30,-202.5,267.2,-181.4260078362187,263.3123980218606
31,-182.5,167.2,-161.9338160322547,170.44966669196222
31,-182.5,267.2,-162.86004126051174,263.4120257966524
32,-162.5,167.2,-143.70303756985942,170.50204332667414
32,-162.5,267.2,-144.01262984840668,262.95259315186297
33,-142.5,167.2,-125.24853885173755,170.07419094078477
33,-142.5,267.2,-125.46852585973978,262.9145726727145
34,-122.5,167.2,-106.83695736131068,169.85387298267727
34,-122.5,267.2,-106.63647800761852,262.46141519028276
35,-102.5,167.2,-88.4934632255585,169.71424234143444
35,-102.5,267.2,-87.89587819060775,262.1898337116477
36,-82.5,167.2,-69.82674246199387,169.17781540622883
36,-82.5,267.2,-69.0696723601114,261.9865081293498
37,-62.5,167.2,-51.46915187934706,169.03461055214652
37,-62.5,267.2,-50.21339043703004,261.7267697542453
38,-42.5,167.2,-32.633522492687966,168.48636287257193
38,-42.5,267.2,-31.372954211664133,261.66078900281127
39,-22.5,167.2,-199.00481374289458,171.3012781248776
39,-22.5,267.2,-200.25928845492453,263.91488040377334
40,-202.5,187.2,-199.39969826403518,189.66502887244786
40,-202.5,287.2,-200.58893421159735,283.2030812055885
41,-182.5,187.2,-180.70443693489912,188.9304097315873
41,-182.5,287.2,-181.86379219604075,282.8625398857934
42,-162.5,187.2,-162.20810630401627,189.07354868404965
42,-162.5,287.2,-163.13606069874996,282.58044866741704
43,-142.5,187.2,-143.62303387729656,188.42445858177302
43,-142.5,287.2,-144.23967043214424,282.06328811118425
44,-122.5,187.2,-125.24550874285862,188.41161517334993
44,-122.5,287.2,-125.4769861128875,281.9568937354086
45,-102.5,187.2,-106.75170739361042,188.15398554419383
45,-102.5,287.2,-106.43297829027689,281.2618765071899
46,-82.5,187.2,-88.33860007527728,188.01015582498562
46,-82.5,287.2,-87.68101979591928,281.20228281766083
47,-62.5,187.2,-69.6759971839288,187.2737034882781
47,-62.5,287.2,-69.01365207406313,281.17164343140877
48,-42.5,187.2,-51.073490561092,187.029151786025
48,-42.5,287.2,-49.95542065801153,280.8092154151082
49,-22.5,187.2,-32.53125170030044,187.05358592069263
49,-22.5,287.2,-31.06633573760387,280.6379637725359
0,-197.5,107.2,-193.81630423238755,117.14214928989318
0,-197.5,207.2,-195.0426150081692,208.3865610942079
1,-177.5,107.2,-175.68287110961907,116.62307218432552
1,-177.5,207.2,-176.48180451913368,207.8553369976741
2,-157.5,107.2,-157.43812337590393,116.57950010130797
2,-157.5,207.2,-157.95634875650418,207.75909165558244
3,-137.5,207.2,-139.37332804255504,207.59913726535314
4,-117.5,207.2,-120.71856670921201,207.28414063612595
5,-97.5,207.2,-102.08762200860657,206.60326477592437
6,-77.5,207.2,-83.59900985517014,206.6117716756501
7,-57.5,207.2,-64.98296515734881,206.5282896942893
8,-37.5,207.2,-46.236800461570276,205.99892197282807
9,-17.5,207.2,-27.495640484183564,205.689119315272
10,-197.5,127.2,-193.98231340707534,135.25234875264272
10,-197.5,227.2,-195.07618238669548,226.89973943992754
11,-177.5,127.2,-175.7200646792682,134.87010693448934
11,-177.5,227.2,-176.51616613529728,226.5305058436946
12,-157.5,127.2,-157.39386307725587,134.5645597428328
12,-157.5,227.2,-158.13110096769287,226.39814453847185
13,-137.5,127.2,-139.0417265906099,134.38807694937367
13,-137.5,227.2,-139.4729710465681,226.10021795401374
14,-117.5,127.2,-120.63210889600937,133.96932734919235
14,-117.5,227.2,-120.73542467698282,225.8726282742836
15,-97.5,127.2,-102.30491855439702,133.65591023037527
15,-97.5,227.2,-102.11310814859202,225.60586814123948
16,-77.5,127.2,-83.8297000934675,133.13410601040147
16,-77.5,227.2,-83.4667243657092,225.13832148874687
17,-57.5,227.2,-64.80010396847507,224.93882056107873
18,-37.5,227.2,-45.88806517953012,224.15586100188065
19,-17.5,227.2,-27.263353321749726,224.33729093111913
20,-197.5,147.2,-194.15475998431464,153.2278879800114
20,-197.5,247.2,-195.34419258556485,245.5012103486999
21,-177.5,147.2,-175.81838993313707,152.95487671095538
21,-177.5,247.2,-176.7007809249163,245.37828708250592
22,-157.5,147.2,-157.48223713351865,152.91376718158867
22,-157.5,247.2,-158.2254849029888,245.32838510103534
23,-137.5,147.2,-138.93834724936025,152.22881934190036
23,-137.5,247.2,-139.44441303213782,244.91860096329103
24,-117.5,147.2,-120.615434615727,152.0232758036674
24,-117.5,247.2,-120.73175128901386,244.47290270307354
25,-97.5,147.2,-102.42602570816022,152.15667140586103
25,-97.5,247.2,-102.04452273809527,244.18569371291318
26,-77.5,147.2,-83.70368985774141,151.18065747093965
26,-77.5,247.2,-83.42312179327833,244.0575928922596
27,-57.5,147.2,-65.31917634556557,150.9635678724664
27,-57.5,247.2,-64.54963925918406,243.6813635366185
28,-37.5,147.2,-46.86758197662337,150.8110591826287
28,-37.5,247.2,-45.6859426003594,243.19046032240655
29,-17.5,147.2,-28.234695196369625,150.45064269516197
29,-17.5,247.2,-26.885281328903712,243.13726561304037
30,-197.5,167.2,-175.7949066185014,171.0541802906601
30,-197.5,267.2,-176.8758564541375,264.1838152739264
31,-177.5,167.2,-157.53061065590526,171.25407802052703
31,-177.5,267.2,-158.16096166033915,264.08857898801375
32,-157.5,167.2,-139.027061032712,170.6315099351765
32,-157.5,267.2,-139.3384884679758,263.46627798471127
33,-137.5,167.2,-120.78362989468792,170.72727296292794
33,-137.5,267.2,-120.68461410658188,263.28053996886376
34,-117.5,167.2,-102.1859679828482,169.93501397007526
34,-117.5,267.2,-102.03668314823055,263.0686783311177
35,-97.5,167.2,-83.77495889295871,169.85318878222606
35,-97.5,267.2,-83.32725333754867,262.95169015707813
36,-77.5,167.2,-65.2426681002649,169.67019017694747
36,-77.5,267.2,-64.3755296264123,262.5453857915506
37,-57.5,167.2,-46.621679386172126,169.08512298418373
37,-57.5,267.2,-45.46342784022763,261.9974990110899
38,-37.5,167.2,-28.011479556015804,168.67511203458469
38,-37.5,267.2,-26.468175974218422,261.68212790266443
39,-17.5,167.2,-194.36469222086598,171.52304598199652
39,-17.5,267.2,-195.49934795329617,264.17627844918957
40,-197.5,187.2,-194.67656207995503,189.8465803907584
40,-197.5,287.2,-195.8177840895745,283.48138832928623
41,-177.5,187.2,-176.17726036760354,189.57585820534777
41,-177.5,287.2,-177.0266072806878,283.04056659433695
42,-157.5,187.2,-157.61922907211138,189.43500463006933
42,-157.5,287.2,-158.42728403235822,283.0558899026682
43,-137.5,187.2,-139.12702434448406,189.22346671401476
